,monthly_salary,fico,utilization,card_limit,card_interest_rate,model_output,model_target
0,78780,897,13.17%,31032,3.75%,0.2231,0
1,10065,794,6.22%,31697,3.41%,0.9543,1
2,97434,880,8.44%,48998,9.68%,0.9906,0
3,126755,729,0.73%,38827,4.14%,0.0232,0
4,70696,624,15.47%,9082,5.51%,0.1075,0
5,173006,889,14.57%,18039,2.86%,0.4746,0
6,88528,814,14.53%,9946,2.40%,0.3882,0
7,40985,743,11.69%,25788,9.50%,0.1198,0
8,154213,864,4.80%,20240,9.06%,0.37,0
9,48492,612,0.15%,45523,10.22%,0.2897,0
10,31681,821,9.73%,7493,9.82%,0.1124,0
11,67238,887,10.63%,29482,7.94%,0.9568,0
12,44643,893,12.04%,47461,11.29%,0.8541,1
13,197514,818,15.67%,11436,3.91%,0.9053,1
14,72272,667,6.16%,11734,6.80%,0.6002,1
15,78675,624,15.60%,41669,7.21%,0.0959,0
16,43980,631,3.09%,20331,5.47%,0.0083,0
17,154442,811,7.01%,20678,2.91%,0.4957,0
18,75990,834,6.06%,45412,2.17%,0.0685,0
19,145779,801,7.62%,20020,9.93%,0.5087,0
20,60938,790,4.24%,23268,6.86%,0.2046,0
21,139356,640,3.34%,49806,6.50%,0.7586,0
22,58355,831,15.22%,13192,8.29%,0.9687,0
23,105779,637,5.58%,16280,11.80%,0.2445,0
24,60382,851,11.56%,42546,10.08%,0.405,0
25,119585,633,5.63%,40902,10.11%,0.8548,1
26,104314,863,3.69%,41368,2.69%,0.1267,0
27,20568,617,5.89%,24465,2.96%,0.3033,0
28,159146,832,12.27%,48567,5.53%,0.8952,0
29,17086,768,4.27%,31294,2.20%,0.8353,1
30,79060,763,8.63%,19442,10.85%,0.0049,0
31,193520,691,13.37%,40760,3.79%,0.4794,0
32,166258,893,1.02%,34904,7.84%,0.5596,1
33,153003,681,16.08%,20544,9.46%,0.3171,0
34,41495,780,6.83%,45872,9.18%,0.0403,0
35,128315,894,4.54%,5966,8.75%,0.6844,0
36,142618,633,4.71%,48436,4.63%,0.6992,1
37,168887,600,4.28%,25317,2.09%,0.547,1
38,132944,636,0.55%,46237,11.35%,0.8074,0
39,94029,900,16.37%,11875,11.75%,0.5326,1
